ti;t;Vi;V
0.0195;-0.0205;0.00E+00;0.00E+00
0.0196;-0.0204;-4.00E-02;-1.09E-02
0.0197;-0.0203;0.00E+00;0.00E+00
0.0198;-0.0202;0.00E+00;0.00E+00
0.0199;-0.0201;-4.00E-02;-1.09E-02
0.02;-0.02;0.00E+00;0.00E+00
0.0201;-0.0199;0.00E+00;0.00E+00
0.0202;-0.0198;-4.00E-02;-1.09E-02
0.0203;-0.0197;0.00E+00;0.00E+00
0.0204;-0.0196;0.00E+00;0.00E+00
0.0205;-0.0195;0.00E+00;0.00E+00
0.0206;-0.0194;0.00E+00;0.00E+00
0.0207;-0.0193;0.00E+00;0.00E+00
0.0208;-0.0192;0.00E+00;0.00E+00
0.0209;-0.0191;0.00E+00;0.00E+00
0.021;-0.019;0.00E+00;0.00E+00
0.0211;-0.0189;0.00E+00;0.00E+00
0.0212;-0.0188;0.00E+00;0.00E+00
0.0213;-0.0187;0.00E+00;0.00E+00
0.0214;-0.0186;0.00E+00;0.00E+00
0.0215;-0.0185;-4.00E-02;-1.09E-02
0.0216;-0.0184;-4.00E-02;-1.09E-02
0.0217;-0.0183;-4.00E-02;-1.09E-02
0.0218;-0.0182;0.00E+00;0.00E+00
0.0219;-0.0181;0.00E+00;0.00E+00
0.022;-0.018;0.00E+00;0.00E+00
0.0221;-0.0179;0.00E+00;0.00E+00
0.0222;-0.0178;0.00E+00;0.00E+00
0.0223;-0.0177;0.00E+00;0.00E+00
0.0224;-0.0176;-4.00E-02;-1.09E-02
0.0225;-0.0175;0.00E+00;0.00E+00
0.0226;-0.0174;0.00E+00;0.00E+00
0.0227;-0.0173;0.00E+00;0.00E+00
0.0228;-0.0172;0.00E+00;0.00E+00
0.0229;-0.0171;0.00E+00;0.00E+00
0.023;-0.017;0.00E+00;0.00E+00
0.0231;-0.0169;0.00E+00;0.00E+00
0.0232;-0.0168;-4.00E-02;-1.09E-02
0.0233;-0.0167;0.00E+00;0.00E+00
0.0234;-0.0166;-4.00E-02;-1.09E-02
0.0235;-0.0165;-4.00E-02;-1.09E-02
0.0236;-0.0164;-4.00E-02;-1.09E-02
0.0237;-0.0163;0.00E+00;0.00E+00
0.0238;-0.0162;-4.00E-02;-1.09E-02
0.0239;-0.0161;0.00E+00;0.00E+00
0.024;-0.016;0.00E+00;0.00E+00
0.0241;-0.0159;0.00E+00;0.00E+00
0.0242;-0.0158;0.00E+00;0.00E+00
0.0243;-0.0157;-4.00E-02;-1.09E-02
0.0244;-0.0156;0.00E+00;0.00E+00
0.0245;-0.0155;0.00E+00;0.00E+00
0.0246;-0.0154;0.00E+00;0.00E+00
0.0247;-0.0153;-4.00E-02;-1.09E-02
0.0248;-0.0152;0.00E+00;0.00E+00
0.0249;-0.0151;0.00E+00;0.00E+00
0.025;-0.015;0.00E+00;0.00E+00
0.0251;-0.0149;0.00E+00;0.00E+00
0.0252;-0.0148;-4.00E-02;-1.09E-02
0.0253;-0.0147;0.00E+00;0.00E+00
0.0254;-0.0146;0.00E+00;0.00E+00
0.0255;-0.0145;-4.00E-02;-1.09E-02
0.0256;-0.0144;0.00E+00;0.00E+00
0.0257;-0.0143;-4.00E-02;-1.09E-02
0.0258;-0.0142;0.00E+00;0.00E+00
0.0259;-0.0141;-4.00E-02;-1.09E-02
0.026;-0.014;0.00E+00;0.00E+00
0.0261;-0.0139;-4.00E-02;-1.09E-02
0.0262;-0.0138;0.00E+00;0.00E+00
0.0263;-0.0137;-4.00E-02;-1.09E-02
0.0264;-0.0136;-4.00E-02;-1.09E-02
0.0265;-0.0135;0.00E+00;0.00E+00
0.0266;-0.0134;-4.00E-02;-1.09E-02
0.0267;-0.0133;0.00E+00;0.00E+00
0.0268;-0.0132;-4.00E-02;-1.09E-02
0.0269;-0.0131;0.00E+00;0.00E+00
0.027;-0.013;-4.00E-02;-1.09E-02
0.0271;-0.0129;-4.00E-02;-1.09E-02
0.0272;-0.0128;0.00E+00;0.00E+00
0.0273;-0.0127;-4.00E-02;-1.09E-02
0.0274;-0.0126;0.00E+00;0.00E+00
0.0275;-0.0125;-4.00E-02;-1.09E-02
0.0276;-0.0124;-4.00E-02;-1.09E-02
0.0277;-0.0123;0.00E+00;0.00E+00
0.0278;-0.0122;0.00E+00;0.00E+00
0.0279;-0.0121;0.00E+00;0.00E+00
0.028;-0.012;0.00E+00;0.00E+00
0.0281;-0.0119;-4.00E-02;-1.09E-02
0.0282;-0.0118;0.00E+00;0.00E+00
0.0283;-0.0117;0.00E+00;0.00E+00
0.0284;-0.0116;0.00E+00;0.00E+00
0.0285;-0.0115;-4.00E-02;-1.09E-02
0.0286;-0.0114;0.00E+00;0.00E+00
0.0287;-0.0113;-4.00E-02;-1.09E-02
0.0288;-0.0112;-4.00E-02;-1.09E-02
0.0289;-0.0111;0.00E+00;0.00E+00
0.029;-0.011;0.00E+00;0.00E+00
0.0291;-0.0109;-4.00E-02;-1.09E-02
0.0292;-0.0108;0.00E+00;0.00E+00
0.0293;-0.0107;0.00E+00;0.00E+00
0.0294;-0.0106;-4.00E-02;-1.09E-02
0.0295;-0.0105;-4.00E-02;-1.09E-02
0.0296;-0.0104;0.00E+00;0.00E+00
0.0297;-0.0103;0.00E+00;0.00E+00
0.0298;-0.0102;-4.00E-02;-1.09E-02
0.0299;-0.0101;0.00E+00;0.00E+00
0.03;-0.01;-4.00E-02;-1.09E-02
0.0301;-0.0099;-4.00E-02;-1.09E-02
0.0302;-0.0098;0.00E+00;0.00E+00
0.0303;-0.0097;0.00E+00;0.00E+00
0.0304;-0.0096;0.00E+00;0.00E+00
0.0305;-0.0095;0.00E+00;0.00E+00
0.0306;-0.0094;0.00E+00;0.00E+00
0.0307;-0.0093;-4.00E-02;-1.09E-02
0.0308;-0.0092;-4.00E-02;-1.09E-02
0.0309;-0.0091;0.00E+00;0.00E+00
0.031;-0.009;0.00E+00;0.00E+00
0.0311;-0.0089;0.00E+00;0.00E+00
0.0312;-0.0088;0.00E+00;0.00E+00
0.0313;-0.0087;-4.00E-02;-1.09E-02
0.0314;-0.0086;-4.00E-02;-1.09E-02
0.0315;-0.0085;-4.00E-02;-1.09E-02
0.0316;-0.0084;0.00E+00;0.00E+00
0.0317;-0.0083;-4.00E-02;-1.09E-02
0.0318;-0.0082;0.00E+00;0.00E+00
0.0319;-0.0081;-4.00E-02;-1.09E-02
0.032;-0.008;-4.00E-02;-1.09E-02
0.0321;-0.0079;-4.00E-02;-1.09E-02
0.0322;-0.0078;0.00E+00;0.00E+00
0.0323;-0.0077;0.00E+00;0.00E+00
0.0324;-0.0076;0.00E+00;0.00E+00
0.0325;-0.0075;0.00E+00;0.00E+00
0.0326;-0.0074;-4.00E-02;-1.09E-02
0.0327;-0.0073;0.00E+00;0.00E+00
0.0328;-0.0072;-4.00E-02;-1.09E-02
0.0329;-0.0071;-4.00E-02;-1.09E-02
0.033;-0.007;-4.00E-02;-1.09E-02
0.0331;-0.0069;0.00E+00;0.00E+00
0.0332;-0.0068;-4.00E-02;-1.09E-02
0.0333;-0.0067;0.00E+00;0.00E+00
0.0334;-0.0066;-4.00E-02;-1.09E-02
0.0335;-0.0065;0.00E+00;0.00E+00
0.0336;-0.0064;-4.00E-02;-1.09E-02
0.0337;-0.0063;-4.00E-02;-1.09E-02
0.0338;-0.0062;0.00E+00;0.00E+00
0.0339;-0.0061;-4.00E-02;-1.09E-02
0.034;-0.006;0.00E+00;0.00E+00
0.0341;-0.0059;0.00E+00;0.00E+00
0.0342;-0.0058;0.00E+00;0.00E+00
0.0343;-0.0057;0.00E+00;0.00E+00
0.0344;-0.0056;0.00E+00;0.00E+00
0.0345;-0.0055;-4.00E-02;-1.09E-02
0.0346;-0.0054;-4.00E-02;-1.09E-02
0.0347;-0.0053;-4.00E-02;-1.09E-02
0.0348;-0.0052;0.00E+00;0.00E+00
0.0349;-0.0051;0.00E+00;0.00E+00
0.035;-0.005;-4.00E-02;-1.09E-02
0.0351;-0.0049;0.00E+00;0.00E+00
0.0352;-0.0048;-4.00E-02;-1.09E-02
0.0353;-0.0047;0.00E+00;0.00E+00
0.0354;-0.0046;-4.00E-02;-1.09E-02
0.0355;-0.0045;-4.00E-02;-1.09E-02
0.0356;-0.0044;-4.00E-02;-1.09E-02
0.0357;-0.0043;0.00E+00;0.00E+00
0.0358;-0.0042;-4.00E-02;-1.09E-02
0.0359;-0.0041;0.00E+00;0.00E+00
0.036;-0.004;0.00E+00;0.00E+00
0.0361;-0.0039;-4.00E-02;-1.09E-02
0.0362;-0.0038;0.00E+00;0.00E+00
0.0363;-0.0037;0.00E+00;0.00E+00
0.0364;-0.0036;0.00E+00;0.00E+00
0.0365;-0.0035;-4.00E-02;-1.09E-02
0.0366;-0.0034;0.00E+00;0.00E+00
0.0367;-0.0033;0.00E+00;0.00E+00
0.0368;-0.0032;0.00E+00;0.00E+00
0.0369;-0.0031;0.00E+00;0.00E+00
0.037;-0.003;0.00E+00;0.00E+00
0.0371;-0.0029;-4.00E-02;-1.09E-02
0.0372;-0.0028;-4.00E-02;-1.09E-02
0.0373;-0.0027;0.00E+00;0.00E+00
0.0374;-0.0026;0.00E+00;0.00E+00
0.0375;-0.0025;-4.00E-02;-1.09E-02
0.0376;-0.0024;0.00E+00;0.00E+00
0.0377;-0.0023;-4.00E-02;-1.09E-02
0.0378;-0.0022;-4.00E-02;-1.09E-02
0.0379;-0.0021;0.00E+00;0.00E+00
0.038;-0.002;-4.00E-02;-1.09E-02
0.0381;-0.0019;0.00E+00;0.00E+00
0.0382;-0.0018;-4.00E-02;-1.09E-02
0.0383;-0.0017;0.00E+00;0.00E+00
0.0384;-0.0016;-4.00E-02;-1.09E-02
0.0385;-0.0015;-4.00E-02;-1.09E-02
0.0386;-0.0014;-4.00E-02;-1.09E-02
0.0387;-0.0013;0.00E+00;0.00E+00
0.0388;-0.0012;-4.00E-02;-1.09E-02
0.0389;-0.0011;0.00E+00;0.00E+00
0.039;-0.001;0.00E+00;0.00E+00
0.0391;-0.0009;-4.00E-02;-1.09E-02
0.0392;-0.0008;-4.00E-02;-1.09E-02
0.0393;-0.0007;0.00E+00;0.00E+00
0.0394;-0.0006;-4.00E-02;-1.09E-02
0.0395;-0.0005;-4.00E-02;-1.09E-02
0.0396;-0.0004;-4.00E-02;-1.09E-02
0.0397;-0.0003;-4.00E-02;-1.09E-02
0.0398;-0.0002;-4.00E-02;-1.09E-02
0.0399;-0.0001;0.00E+00;0.00E+00
