time	Vo
6.932156292621836e-001	1.084109e+000
6.964243346193265e-001	1.091911e+000
6.990750042621836e-001	1.097868e+000
7.017256739050408e-001	1.103387e+000
7.043763435478979e-001	1.108468e+000
7.070270131907551e-001	1.113110e+000
7.096776828336122e-001	1.117314e+000
7.123283524764694e-001	1.121079e+000
7.149790221193265e-001	1.124406e+000
7.174901828336122e-001	1.127109e+000
7.200013435478979e-001	1.129396e+000
7.225125042621836e-001	1.131265e+000
7.250236649764694e-001	1.132718e+000
7.275348256907551e-001	1.133754e+000
7.300459864050408e-001	1.134373e+000
7.325571471193265e-001	1.134575e+000
7.353473256907551e-001	1.134298e+000
7.381375042621836e-001	1.133558e+000
7.409276828336122e-001	1.132357e+000
7.437178614050408e-001	1.130692e+000
7.465080399764694e-001	1.128565e+000
7.492982185478979e-001	1.125976e+000
7.520883971193265e-001	1.122925e+000
7.564131739050408e-001	1.117236e+000
7.607379506907551e-001	1.110847e+000
7.650627274764694e-001	1.103757e+000
7.693875042621836e-001	1.095966e+000
7.737122810478979e-001	1.087476e+000
7.780370578336122e-001	1.078284e+000
7.823618346193265e-001	1.068393e+000
7.855705399764694e-001	1.060870e+000
7.887792453336122e-001	1.053279e+000
7.919879506907551e-001	1.045619e+000
7.951966560478979e-001	1.037890e+000
7.984053614050408e-001	1.030093e+000
8.016140667621836e-001	1.022226e+000
8.048227721193265e-001	1.014291e+000
8.078919685478979e-001	1.006784e+000
8.109611649764694e-001	9.994442e-001
8.140303614050408e-001	9.922727e-001
8.170995578336122e-001	9.852692e-001
8.201687542621836e-001	9.784338e-001
8.232379506907551e-001	9.717663e-001
8.263071471193265e-001	9.652669e-001
8.292368346193265e-001	9.593335e-001
8.321665221193265e-001	9.537021e-001
8.350962096193265e-001	9.483726e-001
8.380258971193265e-001	9.433450e-001
8.409555846193265e-001	9.386193e-001
8.438852721193265e-001	9.341956e-001
8.468149596193265e-001	9.300738e-001
8.491866114050408e-001	9.270150e-001
8.515582631907551e-001	9.241997e-001
8.539299149764694e-001	9.216281e-001
8.563015667621836e-001	9.193001e-001
8.586732185478979e-001	9.172156e-001
8.610448703336122e-001	9.153748e-001
8.634165221193265e-001	9.137776e-001
8.660671917621836e-001	9.123028e-001
8.687178614050408e-001	9.111373e-001
8.713685310478979e-001	9.102811e-001
8.740192006907551e-001	9.097341e-001
8.766698703336122e-001	9.094964e-001
8.793205399764694e-001	9.095679e-001
8.819712096193265e-001	9.099488e-001
8.855984417621836e-001	9.109964e-001
8.892256739050408e-001	9.125213e-001
8.928529060478979e-001	9.145235e-001
8.964801381907551e-001	9.170029e-001
9.001073703336122e-001	9.199596e-001
9.037346024764694e-001	9.233936e-001
9.073618346193265e-001	9.273049e-001
9.114075935478979e-001	9.321658e-001
9.154533524764694e-001	9.373215e-001
9.194991114050408e-001	9.427719e-001
9.235448703336122e-001	9.485171e-001
9.275906292621836e-001	9.545571e-001
9.316363881907551e-001	9.608918e-001
9.356821471193265e-001	9.675214e-001
9.388908524764694e-001	9.728196e-001
9.420995578336122e-001	9.780946e-001
9.453082631907551e-001	9.833467e-001
9.485169685478979e-001	9.885756e-001
9.517256739050408e-001	9.937814e-001
9.549343792621836e-001	9.989642e-001
9.581430846193265e-001	1.004124e+000
9.596776828336122e-001	1.006530e+000
9.612122810478979e-001	1.008903e+000
9.627468792621836e-001	1.011243e+000
9.642814774764694e-001	1.013549e+000
9.658160756907551e-001	1.015822e+000
9.673506739050408e-001	1.018061e+000
9.688852721193265e-001	1.020267e+000
9.698618346193265e-001	1.021646e+000
9.730705399764694e-001	1.026090e+000
9.762792453336122e-001	1.030292e+000
9.794879506907551e-001	1.034252e+000
9.826966560478979e-001	1.037969e+000
9.859053614050408e-001	1.041444e+000
9.891140667621836e-001	1.044678e+000
9.923227721193265e-001	1.047668e+000
9.981821471193265e-001	1.052330e+000
9.990234375010000e-001	1.052919e+000
1.000000000000000e+000	1.053582e+000
